I, [2015-09-01T14:37:36.412975 #35680]  INFO -- Kitchen: -----> Starting Kitchen (v1.4.0)
E, [2015-09-01T14:37:36.413182 #35680] ERROR -- Kitchen: ------Exception-------
E, [2015-09-01T14:37:36.413201 #35680] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2015-09-01T14:37:36.413212 #35680] ERROR -- Kitchen: Message: Kitchen YAML file /Users/acaiafa1/Development/bloomberg/chef-cookbooks/opentsdb/libraries/.kitchen.yml does not exist.
E, [2015-09-01T14:37:36.413234 #35680] ERROR -- Kitchen: ------Backtrace-------
E, [2015-09-01T14:37:36.413243 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2015-09-01T14:37:36.413252 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:145:in `data'
E, [2015-09-01T14:37:36.413261 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:124:in `suites'
E, [2015-09-01T14:37:36.413269 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:175:in `filter_instances'
E, [2015-09-01T14:37:36.413278 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:134:in `build_instances'
E, [2015-09-01T14:37:36.413286 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:110:in `instances'
E, [2015-09-01T14:37:36.413295 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2015-09-01T14:37:36.413303 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2015-09-01T14:37:36.413312 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:38:in `block in call'
E, [2015-09-01T14:37:36.413320 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2015-09-01T14:37:36.413337 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:37:in `call'
E, [2015-09-01T14:37:36.413345 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:56:in `perform'
E, [2015-09-01T14:37:36.413354 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:171:in `block (2 levels) in <class:CLI>'
E, [2015-09-01T14:37:36.413362 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2015-09-01T14:37:36.413371 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2015-09-01T14:37:36.413379 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:308:in `invoke_task'
E, [2015-09-01T14:37:36.413395 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2015-09-01T14:37:36.413403 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2015-09-01T14:37:36.413411 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `block in <top (required)>'
E, [2015-09-01T14:37:36.413418 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2015-09-01T14:37:36.413426 #35680] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `<top (required)>'
E, [2015-09-01T14:37:36.413446 #35680] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:15:in `load'
E, [2015-09-01T14:37:36.413454 #35680] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:15:in `<main>'
E, [2015-09-01T14:37:36.413461 #35680] ERROR -- Kitchen: ----------------------
